,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,512.0,1023.0,12193.0,644.0,31738.0,10264.0,49624.0,826.0,4747.0,3918.0,2902979.0,210972.0,79212.0,1307633.0,329734.643
ground_templates,8.0,246.0,21.0,59.0,190.0,116.0,42.0,49.0,422.0,30.0,173.0,918.0,260.0,43.0,184.071
GA,0.682,0.67,0.119,0.927,0.439,0.863,0.473,0.286,0.573,0.353,0.548,0.353,0.806,0.864,0.568
PA,0.682,0.0,0.403,0.652,0.0,0.527,0.115,0.553,0.336,0.364,0.403,0.203,0.763,0.585,0.399
FGA,0.004,0.307,0.001,0.074,0.003,0.014,0.001,0.032,0.082,0.005,0.0,0.004,0.003,0.0,0.038
PTA,0.002,0.0,0.0,0.016,0.0,0.0,0.0,0.007,0.006,0.002,0.0,0.0,0.0,0.0,0.002
RTA,0.125,0.0,0.048,0.169,0.0,0.034,0.024,0.122,0.069,0.3,0.017,0.004,0.027,0.093,0.074
FTA,0.004,0.0,0.0,0.028,0.0,0.001,0.0,0.014,0.011,0.005,0.0,0.0,0.0,0.0,0.004
