,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,6.0,14.0,1.0,3.0,12.0,9.0,6.0,26.0,117.0,2.0,16.0,312.0,18.0,3.0,38.929
ground_templates,3.0,8.0,1.0,3.0,14.0,4.0,4.0,1.0,117.0,2.0,16.0,95.0,17.0,3.0,20.571
GA,0.0,0.046,1.0,1.0,0.846,0.97,0.017,0.0,0.764,1.0,0.097,0.456,0.925,1.0,0.58
PA,0.0,0.0,0.0,0.086,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
FGA,0.0,0.455,1.0,1.0,0.846,0.308,0.2,0.0,0.735,1.0,0.562,0.359,0.857,1.0,0.594
PTA,0.0,0.0,0.0,0.333,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.03
RTA,0.0,0.0,0.0,0.333,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.03
FTA,0.0,0.0,0.0,0.333,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.03
