,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,3.0,15.0,1.0,3.0,14.0,8.0,47.0,26.0,147.0,2.0,16.0,125.0,18.0,3.0,30.571
ground_templates,3.0,8.0,1.0,3.0,14.0,4.0,4.0,1.0,117.0,2.0,16.0,95.0,17.0,3.0,20.571
GA,1.0,0.046,1.0,1.0,1.0,0.97,0.1,0.0,0.933,1.0,0.986,0.741,0.998,1.0,0.77
PA,1.0,0.003,0.0,0.967,0.891,0.97,0.0,0.0,0.06,0.0,0.408,0.024,0.58,0.0,0.35
FGA,1.0,0.435,1.0,1.0,1.0,0.333,0.118,0.0,0.78,1.0,0.938,0.718,0.914,1.0,0.731
PTA,1.0,0.067,0.0,0.667,0.429,0.25,0.0,0.0,0.095,0.0,0.125,0.168,0.333,0.0,0.224
RTA,1.0,0.125,0.0,0.667,0.429,0.5,0.0,0.0,0.12,0.0,0.125,0.221,0.353,0.0,0.253
FTA,1.0,0.087,0.0,0.667,0.429,0.333,0.0,0.0,0.106,0.0,0.125,0.191,0.343,0.0,0.234
