,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,2.0,13.0,1.0,5.0,13.0,7.0,5.0,26.0,90.0,4.0,15.0,123.0,21.0,3.0,23.429
ground_templates,3.0,8.0,1.0,3.0,14.0,4.0,4.0,1.0,117.0,2.0,16.0,95.0,17.0,3.0,20.571
GA,0.521,0.061,1.0,0.119,0.455,0.0,0.017,0.0,0.357,0.208,0.575,0.69,0.671,1.0,0.405
PA,0.0,0.003,0.0,0.681,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073
FGA,0.4,0.476,1.0,0.5,0.815,0.0,0.222,0.0,0.444,0.333,0.774,0.541,0.632,1.0,0.51
PTA,0.0,0.077,0.0,0.4,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.048,0.0,0.05
RTA,0.0,0.125,0.0,0.667,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.059,0.0,0.073
FTA,0.0,0.095,0.0,0.5,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.053,0.0,0.059
