,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,48.0,26.0,1.0,3.0,97.0,8.0,4.0,159.0,522.0,2.0,16.0,698.0,39.0,3.0,116.143
ground_templates,3.0,8.0,1.0,3.0,14.0,4.0,4.0,1.0,117.0,2.0,16.0,95.0,17.0,3.0,20.571
GA,0.0,0.01,1.0,1.0,0.74,0.97,1.0,0.0,0.766,1.0,0.986,0.719,0.284,1.0,0.677
PA,0.0,0.0,0.0,0.881,0.0,0.0,0.0,0.066,0.002,0.0,0.0,0.0,0.074,0.0,0.073
FGA,0.0,0.235,1.0,1.0,0.144,0.333,1.0,0.0,0.247,1.0,0.938,0.192,0.5,1.0,0.542
PTA,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.006,0.002,0.0,0.0,0.0,0.026,0.0,0.026
RTA,0.0,0.0,0.0,0.333,0.0,0.0,0.0,1.0,0.009,0.0,0.0,0.0,0.059,0.0,0.1
FTA,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.013,0.003,0.0,0.0,0.0,0.036,0.0,0.028
