,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,3.0,15.0,1.0,3.0,13.0,9.0,2.0,181.0,145.0,4.0,16.0,121.0,19.0,4.0,38.286
ground_templates,3.0,8.0,1.0,3.0,14.0,4.0,4.0,1.0,117.0,2.0,16.0,95.0,17.0,3.0,20.571
GA,1.0,0.044,1.0,1.0,0.845,0.97,0.017,0.0,0.749,0.0,0.115,0.48,0.675,0.214,0.508
PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.005
FGA,1.0,0.348,1.0,1.0,0.741,0.308,0.333,0.0,0.649,0.0,0.75,0.704,0.778,0.286,0.564
PTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071
FTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.001
