,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,2.0,29.0,1.0,8.0,67.0,7.0,3.0,38.0,117.0,4.0,15.0,153.0,31.0,3.0,34.143
ground_templates,3.0,8.0,1.0,3.0,14.0,4.0,4.0,1.0,117.0,2.0,16.0,95.0,17.0,3.0,20.571
GA,0.521,0.008,1.0,0.119,0.806,0.0,0.918,0.0,0.494,0.208,0.523,0.374,0.081,1.0,0.432
PA,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.011
FGA,0.4,0.162,1.0,0.364,0.222,0.0,0.571,0.0,0.487,0.333,0.581,0.468,0.458,1.0,0.432
PTA,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.011
RTA,0.0,0.0,0.0,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095
FTA,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.017
